Artist,Title,Year,Nationality,Gender,Race,Ethnicity
Aaron Douglas,Noah's Ark,1991,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,1996,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,2001,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,2005,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,2009,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,2013,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,Noah's Ark,2016,American,Male,Black or African American,Not Hispanic or Latinx
Aaron Douglas,"From Slavery through Reconstruction, from Aspects of Negro Life",2020,American,Male,Black or African American,Not Hispanic or Latinx
Adélaïde Labille-Guiard,Self-Portrait with Two Pupils,2013,French,Female,White,Not Hispanic or Latinx
Adélaïde Labille-Guiard,Self-Portrait with Two Pupils,2016,French,Female,White,Not Hispanic or Latinx
Adélaïde Labille-Guiard,Self-Portrait with Two Pupils,2020,French,Female,White,Not Hispanic or Latinx
Adolphe William Bouguereau,The Birth of Venus,1970,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,The Birth of Venus,1975,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,1980,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,1986,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,1991,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,1996,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,2001,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,2005,French,Male,White,Not Hispanic or Latinx
Adolphe William Bouguereau,Nymphs and Satyr,2009,French,Male,White,Not Hispanic or Latinx
Albert Bierstadt,Among the Sierra Nevada Mountains,2001,German-American,Male,White,Not Hispanic or Latinx
Albert Bierstadt,Among the Sierra Nevada Mountains,2005,German-American,Male,White,Not Hispanic or Latinx
Albert Bierstadt,Among the Sierra Nevada Mountains,2009,German-American,Male,White,Not Hispanic or Latinx
Albert Bierstadt,Among the Sierra Nevada Mountains,2013,German-American,Male,White,Not Hispanic or Latinx
Albert Bierstadt,"Among the Sierra Nevada Mountains, California",2016,German-American,Male,White,Not Hispanic or Latinx
Albert Bierstadt,"Among the Sierra Nevada Mountains, California",2020,German-American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Moonlit Cove,1936,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Moonlit Cove,1948,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Moonlight Marine,1959,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Death on a Pale Horse,1980,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Death on a Pale Horse,1986,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Death on a Pale Horse,1991,American,Male,White,Not Hispanic or Latinx
Albert Pinkham Ryder,Death on a Pale Horse,1996,American,Male,White,Not Hispanic or Latinx
Alexander Gardner,Carnage at Antietam,1996,Scottish,Male,White,Not Hispanic or Latinx
Alexandre Cabanel,The Birth of Venus,1959,French,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,Steerage,1959,American,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,The Steerage,1991,American,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,The Steerage,1996,American,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,The Steerage,2001,American,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,The Steerage,2005,American,Male,White,Not Hispanic or Latinx
Alfred Stieglitz,The Steerage,2009,American,Male,White,Not Hispanic or Latinx
