Artist,Nationality,Gender,Race,Ethnicity,Title,Year
A. R. Penck,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,1995
A. R. Penck,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,2001
Aaron Siskind,American,Male,White,Not Hispanic or Latinx,New York 2,1986
Aaron Siskind,American,Male,White,Not Hispanic or Latinx,New York 2,1991
Aaron Siskind,American,Male,White,Not Hispanic or Latinx,New York 2,1995
Aaron Siskind,American,Male,White,Not Hispanic or Latinx,New York 2,2001
Adolph Gottlieb,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,1995
Adolph Gottlieb,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,2001
Adolphe William Bouguereau,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,2007
Adolphe William Bouguereau,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,2011
Albert Bierstadt,German-American,Male,White,Not Hispanic or Latinx,"The Rocky Mountains, Lander's Peak",2007
Albert Pinkham Ryder,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,2007
Albert Pinkham Ryder,American,Male,White,Not Hispanic or Latinx,Siegfried and the Rhine Maidens,2011
Albert Renger-Patzsch,German,Male,White,Not Hispanic or Latinx,Potter's Hands,1986
Albert Renger-Patzsch,German,Male,White,Not Hispanic or Latinx,Potter's Hands,1991
Albert Renger-Patzsch,German,Male,White,Not Hispanic or Latinx,Potter's Hands,1995
Albert Renger-Patzsch,German,Male,White,Not Hispanic or Latinx,Potter's Hands,2001
Alexander Cozens,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",1977
Alexander Cozens,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",1986
Alexander Cozens,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",1991
Alexander Cozens,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",1995
Alexander Cozens,British,Male,White,Not Hispanic or Latinx,"Landscape, from A New Method of Assisting the Invention in Drawing Original Compositions of Landscape",2001
Alexander Gardner,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",1986
Alexander Gardner,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",1991
Alexander Gardner,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",1995
Alexander Gardner,Scottish,Male,White,Not Hispanic or Latinx,"Home of a Rebel Sharpshooter, Gettysburg",2001
Alexander Rodchenko,Russian,Male,White,Not Hispanic or Latinx,"Advertisement: ""Books!""",2007
Alexander Rodchenko,Russian,Male,White,Not Hispanic or Latinx,"Advertisement: ""Books!""",2011
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,Equivalents,1986
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The Steerage,1986
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,Equivalents,1991
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The Steerage,1991
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,Equivalents,1995
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The Steerage,1995
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,Equivalents,2001
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The Steerage,2001
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,Equivalents,2007
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The City of Ambition,2007
Alfred Stieglitz,American,Male,White,Not Hispanic or Latinx,The City of Ambition,2011
Ando Hiroshige,Japanese,Male,Asian,Not Hispanic or Latinx,"Plum Estate, Kameido, from the series, One Hundred Famous Views of Edo",2007
Ando Hiroshige,Japanese,Male,Asian,Not Hispanic or Latinx,"Plum Estate, Kameido, from the series, One Hundred Famous Views of Edo",2011
André Derain,French,Male,White,Not Hispanic or Latinx,Mountains at Collioure,2007
André Derain,French,Male,White,Not Hispanic or Latinx,Mountains at Collioure,2011
André Kertész,Hungarian ,Male,White,Not Hispanic or Latinx,Blind Musician,1986
André Kertész,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,1991
André Kertész,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,1995
André Kertész,Hungarian,Male,White,Not Hispanic or Latinx,Blind Musician,2001
André Masson,French,Male,White,Not Hispanic or Latinx,Battle of Fishes,2007
Andy Warhol,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,1991
Andy Warhol,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,1995
Andy Warhol,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,2001
Andy Warhol,American,Male,White,Not Hispanic or Latinx,Gold Marilyn Monroe,2007
Andy Warhol,American,Male,White,Not Hispanic or Latinx,Campbell's Soup Cans,2011
