Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Peter Cook,2007,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",1979,Ink and gouache on paper,1992-01-15,Architecture & Design,Architecture,British,Male,1936,
Cristiano Toraldo di Francia,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
x,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
R. Buckminster Fuller,2007,"Dymaxion Dwelling Machine, Wichita House, project, Study for air circulation: floor plan",1945,Graphite on paper,1978-02-27,Architecture & Design,Architecture,American,Male,1895,1983
Gustav Klutsis,2007,Anti-Imperialist Exhibition,1931,Lithograph,1997-01-15,Architecture & Design,Design,Latvian,Male,1895,1938
Brice Marden,2007,Thirty-Six Poems,1987,Illustrated book with one etching with aquatint and drypoint and photolithographic reproductions after etchings,1987-10-20,Prints & Illustrated Books,Illustrated Book,American,Male,1938,
Jonathan Monk,2007,If Only,1996,"Cut-and-pasted printed paper, gelatin silver print, and pencil on paper",2005-05-10,Drawings,Drawing,British,Male,1969,
Barbara Probst,2007,"Exposure #30:  N.Y.C., 249 W 34th Street, 11.20.04, 2:27 p.m.",2004,Four pigmented inkjet prints,2006-05-11,Photography,Photograph,German,Female,1964,
Jules Spinatsch,2007,"Panorama: World Economic Forum, Davos 2003. Camera A, Congress-Center North and Middle Entry, 2176 Still Shots, 24.01.03, 06h35-09h30, Hotspots: World Economic Forum, Davos. Hotspot A4.1, promenade; Hotspot A1.1, north and middle entry; Hotspot A2/3/5/6.1, parking, congress hotel, carlton, congress center",2003,Pigmented inkjet print and 3 DVDs,2006-05-11,Photography,Photograph,Swiss,Male,1964,
Arman,2007,Arman Estampes Catalogues Raisonné,1990,Two drypoints,1996-03-12,Prints & Illustrated Books,Illustrated Book,American,Male,1928,2005
John Armleder,2007,Untitled (for Parkett no. 50/51),1997,Multiple of Perspex object in flourescent orange,1998-03-05,Prints & Illustrated Books,Multiple,Swiss,Male,1948,
Atelier Populaire,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fiona Banner,2007,The Nam,1997,Artist's book,1999-05-20,Prints & Illustrated Books,Illustrated Book,British,Female,1966,
Georg Baselitz,2007,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Vito Acconci,2007,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
William Anastasi,2007,60 Minutes,1987,Pencil on paper mounted on canvas,1988-02-19,Drawings,Drawing,American,Male,1933,
Janine Antoni,2007,Gnaw,1992,"Three-part installation: 600 lbs. of chocolate gnawed by the artist; 600 lbs. of lard gnawed by the artist; display with 130 lipsticks made with pigment, beeswax, and chewed lard removed from the lard cube; 27 heart-shaped packages made from the chewed chocolate removed from the chocolate cube",2000-11-06,Painting & Sculpture,Installation,Bahamian,Female,1964,
Dieter Appelt,2007,The Field,1991,Gelatin silver prints,1993-03-11,Photography,Photograph,German,Male,1935,
Alighiero Boetti,2007,Probing The Mysteries of a Double Life (for Parkett no. 24),1990,"Collotype, with gouache additions",1998-03-05,Prints & Illustrated Books,Print,Italian,Male,1940,1994
Eija-Liisa Ahtila,2007,Veil of Ignorance (for Parkett no. 68),2003,Multiple of wool jacket with screenprint,2005-06-02,Prints & Illustrated Books,Multiple,Finnish,Female,1959,
Monika Sosnowska,2006,Untitled,2012,Steel and lacquer,2012-09-28,Painting & Sculpture,Sculpture,Polish,Female,1972,
Anonymous,2007,Bandit 201,1967,Offset lithograph on pressure-sensitive sticker,2008-10-08,Prints & Illustrated Books,Print,Unknown,Unknown,,
François Aubert,2007,Emperor Maximilian in His Coffin,1867,Albumen silver print,1991-10-25,Photography,Photograph,French,Male,1839,1900
Robert J. Bingham,2007,THE PRINCE OF WALES,1867,Albumen silver print,1982-05-13,Photography,Photograph,British,Male,1824,1870
Adrien Cordiglia,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
W. & D. Downey,2007,Napoleon III (1808-1873),1860,Albumen silver print,1982-05-13,Photography,Photograph,British,Unknown,,
Roberto Rossellini,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Doug Aitken,2007,Diamond Sea,2001,Artist's book,2001-05-24,Prints & Illustrated Books,Illustrated Book,American,Male,1968,
Armando Reverón,2007,Woman of the River,1939,Oil on canvas,2004-06-08,Painting & Sculpture,Painting,Venezuelan,Male,1889,1954
Jeff Wall,2007,Boy on TV (for Parkett no. 22),1989,Chromogenic color print in wooden frame,1998-03-05,Prints & Illustrated Books,Print,Canadian,Male,1946,
Polly Apfelbaum,2007,Blossom,2000,Synthetic velvet and fabric dye,2001-02-12,Painting & Sculpture,Installation,American,Female,1955,
Inka Essenhigh,2007,Western Print,1999,Screenprint with varnish,2000-03-02,Prints & Illustrated Books,Print,American,Female,1969,
Ellen Gallagher,2007,Skinatural,1997,"Oil, pencil and plasticine on magazine page",2000-10-10,Drawings,Drawing,American,Female,1965,
Arturo Herrera,2007,Untitled,1997,Mixed media collage on on envelope,2002-12-10,Drawings,Drawing,Venezuelan,Male,1959,
Michel Majerus,2007,what looks good today may not look good tomorrow,2000,Synthetic polymer paint and pencil on canvas,2014-09-29,Painting & Sculpture,Painting,German,Male,1967,2002
Richard Serra,2007,Pittsburgh,1985,Paintstik on paper mounted on thin fabric,1987-04-03,Drawings,Drawing,American,Male,1938,
Alvar Aalto,2007,"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955,"Plastic, cardboard, and synthetic polymer paint",2000-06-30,Architecture & Design,Architecture,Finnish,Male,1898,1976
"Alsop Ltd., London, England",2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
